Instance,Time(s),Upper Bound,Status
N3C2W1_N.BPP,2.87773,91,Optimal
N3C2W1_O.BPP,3.19275,82,Optimal
N3C2W1_P.BPP,1.69975,88,Optimal
N3C2W1_Q.BPP,5.06437,82,Optimal
N3C2W1_R.BPP,3.07794,82,Optimal
N3C2W1_S.BPP,2.17411,89,Optimal
N3C2W1_T.BPP,2.80543,83,Optimal
N3C2W2_A.BPP,0.290845,107,Optimal
N3C2W2_B.BPP,0.435927,105,Optimal
N3C2W2_C.BPP,0.266828,104,Optimal
N3C2W2_D.BPP,0.33078,107,Optimal
N3C2W2_E.BPP,0.34434,116,Optimal
N3C2W2_F.BPP,0.38313,106,Optimal
N3C2W2_G.BPP,0.579974,102,Optimal
N3C2W2_H.BPP,0.219776,117,Optimal
N3C2W2_I.BPP,0.61427,102,Optimal
N3C2W2_J.BPP,0.536475,107,Optimal
N3C2W2_K.BPP,0.241729,110,Optimal
N3C2W2_L.BPP,0.298338,105,Optimal
N3C2W2_M.BPP,0.410595,108,Optimal
N3C2W2_N.BPP,0.324882,105,Optimal
N3C2W2_O.BPP,0.350227,107,Optimal
N3C2W2_P.BPP,0.353896,107,Optimal
N3C2W2_Q.BPP,0.273024,105,Optimal
N3C2W2_R.BPP,0.348831,110,Optimal
N3C2W2_S.BPP,0.243153,107,Optimal
N3C2W2_T.BPP,0.667687,107,Optimal
N3C2W4_A.BPP,0.48535,113,Optimal
N3C2W4_B.BPP,0.602636,112,Optimal
N3C2W4_C.BPP,0.227385,132,Optimal
N3C2W4_D.BPP,0.529442,114,Optimal
N3C2W4_E.BPP,0.664548,110,Optimal
N3C2W4_F.BPP,0.22221,115,Optimal
N3C2W4_G.BPP,0.178833,122,Optimal
N3C2W4_H.BPP,0.636193,113,Optimal
N3C2W4_I.BPP,0.137932,115,Optimal
N3C2W4_J.BPP,0.203571,120,Optimal
N3C2W4_K.BPP,0.546798,117,Optimal
N3C2W4_L.BPP,0.348753,116,Optimal
